Resource,CAISO_Advanced_CCGT_candidate,CAISO_Aero_CT_candidate,CAISO_Reciprocating_Engine_candidate,Total
t56,3.812638253033108e-8,3.1418042115381194e-7,8.079847049324523e-6,8.432153853008667e-6
t57,3.2941969916245404e-8,2.5132894360781554e-7,5.168320906196284e-6,5.452591819720345e-6
t58,3.882328870241968e-8,3.07822420228357e-7,6.8662624260939754e-6,7.212908135024752e-6
t59,4.5797139763656964e-8,3.4560970468651424e-7,8.61874349928982e-6,9.010150343739992e-6
t60,5.4852766856169296e-8,3.6616078075578014e-7,1.042979110627372e-5,1.085080465388567e-5
t61,6.776737755985795e-8,3.7944101569457474e-7,1.2718047456253375e-5,1.3165255849507807e-5
t62,8.89301257446214e-8,3.9552862791492866e-7,1.692312564629877e-5,1.7407584399958318e-5
t63,1.3184224940489345e-7,4.2726793185819965e-7,3.020179073272425e-5,3.076090091398734e-5
t64,2.736588209792102e-7,5.125556442553013e-7,0.00015689267922732375,0.00015767889369255826
t65,1.4268451853482383e-6,8.456988204812311e-7,2.750611876154668,2.750614148698674
t66,2.8813996058192974e-7,6.02496220558655e-7,2.5707150299566456e-5,2.659778648070704e-5
t67,1.7124650801322508e-7,5.190475831093736e-7,1.5156063940881033e-5,1.5846358032003632e-5
t68,1.258412614474821e-7,4.778427219506513e-7,1.2194817467707265e-5,1.27985014511054e-5
t69,1.0069143091402421e-7,4.5333659119042225e-7,1.1059838697038394e-5,1.161386671914284e-5
t70,8.388368805691581e-8,4.360398646739496e-7,1.0615516383147382e-5,1.1135439935878247e-5
t71,7.164312494136943e-8,4.211765438648139e-7,1.0485632803831036e-5,1.0978452472637219e-5
t72,6.251322146122132e-8,4.0558198993361165e-7,1.0540469191271288e-5,1.1008564402666122e-5
t73,5.5166399556918436e-8,3.8628291008807354e-7,1.0753946014428662e-5,1.1195395324073655e-5
t74,5.2819355708580246e-8,3.975137013728067e-7,1.1886387762380178e-5,1.2336720819461565e-5
t75,5.089185535793452e-8,4.042115801752044e-7,1.2739534640862528e-5,1.3194638076395666e-5
t76,4.900325150485088e-8,4.0715930766317023e-7,1.357877529525926e-5,1.403493785442728e-5
t77,4.70912899530393e-8,4.067976206651442e-7,1.4451414190748698e-5,1.4905303101366882e-5
t78,4.49586066129332e-8,4.0280434201338006e-7,1.5371513344363405e-5,1.581927629298972e-5
t79,4.14274487772808e-8,3.580884292969032e-7,1.2281944548169302e-5,1.2681460426243485e-5
t80,3.766315838721049e-8,3.069598776657657e-7,8.70520154706988e-6,9.049824583122856e-6
t81,3.6107303553665416e-8,2.683004486435306e-7,6.73759195698186e-6,7.041999709179056e-6
t82,4.2262869024755855e-8,3.1964816340861175e-7,8.411862328139335e-6,8.773773360572703e-6
t83,4.994987155441966e-8,3.522799634516824e-7,1.0018822737242901e-5,1.0421052572249003e-5
t84,6.001252180182849e-8,3.696056441294023e-7,1.1735498898883237e-5,1.2165117064814468e-5
t85,7.45981521748299e-8,3.8104943739217065e-7,1.4208473634659736e-5,1.4664121224226736e-5
t86,9.960288753013035e-8,3.962613068904194e-7,1.9766012348321032e-5,2.0261876542741583e-5
t87,1.566081916171544e-7,4.2987620839349333e-7,4.5387555312580666e-5,4.597403971259131e-5
t88,4.3295868833983246e-7,5.235320356833074e-7,0.0006772235517457816,0.0006781800424698047
t89,0.004168743074141022,9.096652026966431e-7,2.750100037360595,2.7542696900999384
t90,3.258287244516644e-7,6.293435058174011e-7,1.940262638672474e-5,2.0357798616993806e-5
t91,1.7745788111990537e-7,5.365644666043685e-7,1.2258207977002431e-5,1.2972230324726706e-5
t92,1.2961261997863323e-7,4.916357782965611e-7,1.0507669265231918e-5,1.1128917663507112e-5
t93,1.0730052537028232e-7,4.656708485934749e-7,1.017315230708579e-5,1.0746123681049547e-5
t94,9.561545359731976e-8,4.485123049926781e-7,1.048399237660595e-5,1.1028120135195949e-5
t95,8.932998675762573e-8,4.3526922838672614e-7,1.1280467293705457e-5,1.1805066508849809e-5
t96,6.959762821969179e-8,4.230362401255085e-7,1.2774905950598077e-5,1.3267539818943278e-5
t97,5.979376267157589e-8,4.1558579157198855e-7,1.6017026378019566e-5,1.6492405932263132e-5
t98,5.858637569309798e-8,4.047471182411071e-7,1.6971658691279442e-5,1.7434992185213647e-5
t99,6.046918840661237e-8,4.3991752097924467e-7,2.3661634653705717e-5,2.4162021363091573e-5
t100,5.708188782998281e-8,4.246260988660746e-7,2.1488143050597997e-5,2.1969851037294055e-5
t101,5.266380218344031e-8,4.052557801984508e-7,1.7674832067824134e-5,1.8132751650206024e-5
t102,4.781183576401803e-8,3.822708790298331e-7,1.3902187799864627e-5,1.4332270514658477e-5
t103,4.291827603382377e-8,3.527992799384513e-7,1.0524282025770055e-5,1.0919999581742331e-5
t104,3.780640531522412e-8,3.1289687248182975e-7,7.540222263611661e-6,7.890925541408716e-6
t105,3.261411100316909e-8,2.531926384861476e-7,5.04956791242706e-6,5.335374661916377e-6
t106,3.851499791615064e-8,3.0879318251163024e-7,6.685981470861786e-6,7.033289651289567e-6
t107,4.56931227214008e-8,3.461405430450817e-7,8.497559445102196e-6,8.889393110868679e-6
t108,5.5411940186780116e-8,3.670273945847244e-7,1.0504717439354747e-5,1.0927156774126252e-5
t109,6.985772091448943e-8,3.8037303969599286e-7,1.3205166087577993e-5,1.3655396848188475e-5
t110,9.511951447461039e-8,3.9738126522019226e-7,1.8729405853443744e-5,1.9221906633138547e-5
t111,1.521137985957865e-7,4.3075046734103136e-7,4.083157101491665e-5,4.141443528085347e-5
t112,4.330276265494737e-7,5.244323224969389e-7,0.00043761046574705535,0.00043856792569610175
t113,0.0050188468947895675,9.04960992257761e-7,2.75033748223333,2.755357234089112
t114,3.32583275630778e-7,6.277706719312e-7,2.0635038819381606e-5,2.1595392766943585e-5
t115,1.8159250664893255e-7,5.359089339297549e-7,1.2945128430616406e-5,1.3662629871195094e-5
t116,1.3279007918062346e-7,4.914293766251707e-7,1.1064012564151337e-5,1.1688232019957132e-5
t117,1.1000324356290292e-7,4.6577938743476537e-7,1.0735914219573712e-5,1.131169685057138e-5
t118,9.804324050819586e-8,4.488879206786451e-7,1.1187361102167592e-5,1.1734292263354432e-5
t119,9.146384534305501e-8,4.3604418441507697e-7,1.2372398831282353e-5,1.2899906861040485e-5
t120,7.131099320295289e-8,4.244194861211077e-7,1.4884344379592744e-5,1.5380074858916803e-5
t121,6.248914858314131e-8,4.1174232623446547e-7,1.683595432800633e-5,1.7310185802823938e-5
t122,6.184643877853949e-8,4.340616675370346e-7,2.2020645677447245e-5,2.2516553783762817e-5
t123,5.769944860557722e-8,4.1874838362838116e-7,2.0198866916050914e-5,2.0675314748284874e-5
t124,5.2987558286909305e-8,4.018548206975963e-7,1.701769784091903e-5,1.7472540219903535e-5
t125,4.7953851140836204e-8,3.8061473417341796e-7,1.3603689999503494e-5,1.4032258584817748e-5
t126,4.295900518435854e-8,3.523735832525878e-7,1.0406758747627644e-5,1.080209133606459e-5
t127,3.780238201847837e-8,3.134585156205722e-7,7.537904520469917e-6,7.889165418108968e-6
t128,3.2591300282705015e-8,2.5457609880013604e-7,5.083936335776558e-6,5.371103734859399e-6
