BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,VRE_Storage_Discharge,VRE_Storage_Charge
t7739,229.08006585989617,69.99999556279303,-86.7006172637587,0.0,0.0,0.0,4.689015061661371e-11,0.0,0.0,-81.0,63.3416115474923,-65.62161139821424
t7740,226.85376025453908,30.0000005425127,-126.77971043115929,0.0,0.0,0.0,4.6890150325919315e-11,0.0,0.0,-65.0,62.11767642528523,-64.39767628664848
t7741,227.7135596575778,2.07010516486083e-6,-165.43355765467152,0.0,0.0,0.0,4.6890150232332605e-11,0.0,0.0,-60.0,60.78041693686943,-63.060416791149564
t7742,226.5617943166026,29.999999809382167,-137.0478439258456,0.0,0.0,0.0,4.689015008674346e-11,0.0,0.0,-54.0,62.11768872883994,-64.39768858747291
t7743,223.22042038488377,1.8329751943957864e-6,-164.94042071957472,0.0,0.0,0.0,4.6890150081648195e-11,0.0,0.0,-61.0,60.780707842806564,-63.060707689783996
t7744,214.83393187405474,1.7335513891483315e-6,-152.55393296607707,0.0,0.0,0.0,4.689015025419756e-11,0.0,0.0,-70.0,60.78160831554276,-63.06160815933657
t7745,196.27983595225308,119.35460000221366,-63.250615517964675,0.0,0.0,0.0,4.685560178806386e-11,0.0,0.0,-87.0,63.34209554362823,-65.62209535826776
t7746,195.02726779008339,70.00000063351243,-79.28061612731491,0.0,0.0,0.0,4.6890151597843174e-11,0.0,0.0,-91.0,62.147865801301926,-64.36786582505381
t7747,195.05824666545973,130.354601334451,-52.25061484837293,0.0,0.0,0.0,4.670991652739227e-11,0.0,0.0,-98.0,63.34221347544535,-65.62221334487585
t7748,195.46716880513597,70.00000060913008,-71.28058997321392,0.0,0.0,0.0,4.689015182041846e-11,0.0,0.0,-99.0,62.14787189635396,-64.3679231708866
t7749,195.9380484843372,133.35460020452336,-49.25061521936802,0.0,0.0,0.0,4.686039189921114e-11,0.0,0.0,-101.0,63.34218232435272,-65.62218213610038
t7750,196.77447977232765,64.79851113066175,-71.25061602114349,0.0,0.0,0.0,4.689015186991003e-11,0.0,0.0,-99.0,62.117891893260364,-64.3978917019428
t7751,197.18959745763192,125.35459902068791,-57.2506155998265,0.0,0.0,0.0,4.6877187798797825e-11,0.0,0.0,-93.0,63.342165037023825,-65.6221648442353
t7752,197.61710669992013,70.00000024483194,-82.25061595313008,0.0,0.0,0.0,4.6890151747301664e-11,0.0,0.0,-88.0,62.11788142233944,-64.39788119154329
t7753,197.88352561858125,113.35460047567452,-69.25061526143202,0.0,0.0,0.0,4.684059786650316e-11,0.0,0.0,-81.0,63.342162923363176,-65.62216274734006
t7754,197.97646255830986,70.00000062435423,-97.28061543591755,0.0,0.0,0.0,4.6890151352027514e-11,0.0,0.0,-73.0,62.147875515873025,-64.36787568639492
t7755,198.01983291372517,107.35460107004187,-75.25061502637013,0.0,0.0,0.0,4.676805890188702e-11,0.0,0.0,-75.0,63.34217303869093,-65.62217288866128
t7756,198.00744133751815,70.00000062545996,-96.28061499287524,0.0,0.0,0.0,4.689015139201317e-11,0.0,0.0,-74.0,62.147861438126995,-64.36786161961193
t7757,198.06939918780387,107.35460098439242,-75.25061506339839,0.0,0.0,0.0,4.678367072489455e-11,0.0,0.0,-75.0,63.34213519703101,-65.62213504544066
t7758,198.03222446836145,70.00000045707023,-91.25061622277394,0.0,0.0,0.0,4.6890151534362665e-11,0.0,0.0,-79.0,62.11783830167023,-64.39783803499053
t7759,199.6875894505784,125.35459865771718,-57.250615619450045,0.0,0.0,0.0,4.688009806354298e-11,0.0,0.0,-93.0,63.34206003522631,-65.62205983875762
t7760,210.65660365885648,40.00486906068632,-71.20061591893446,0.0,0.0,0.0,4.689015283457059e-11,0.0,0.0,-103.0,62.11780520727518,-64.39780502314832
t7761,227.46480936410077,80.7128268873263,-62.150616300398326,0.0,0.0,0.0,4.689015262120152e-11,0.0,0.0,-103.0,63.34195027472795,-65.6219501105976
t7762,229.5863232165266,37.100117299741804,-102.25061573745616,0.0,0.0,0.0,4.689015163416678e-11,0.0,0.0,-90.0,62.117768666893,-64.39776851509947
t7763,230.28787752851258,69.99999886689699,-83.7006164098514,0.0,0.0,0.0,4.689015157045259e-11,0.0,0.0,-84.0,63.34177346949649,-65.62177331926308
t7764,228.0932714723971,6.416404131554419,-114.46036207870708,0.0,0.0,0.0,4.689015136827965e-11,0.0,0.0,-76.0,62.11760328209624,-64.39760314037333
t7765,227.87645428360898,1.9602603964124445e-6,-157.59645167396258,0.0,0.0,0.0,4.6890151131147756e-11,0.0,0.0,-68.0,60.78057124518887,-63.06057110686885
t7766,225.79220985588242,2.248780071030761e-6,-152.5121592461564,0.0,0.0,0.0,4.689015115297639e-11,0.0,0.0,-71.0,60.781381465476926,-63.06138130935754
t7767,223.5003884344119,1.6979979762145525e-6,-154.2203889176135,0.0,0.0,0.0,4.6890151114970857e-11,0.0,0.0,-72.0,60.78081572200016,-63.06081558535034
t7768,217.43244009554064,1.6206048139502306e-6,-150.15244112366807,0.0,0.0,0.0,4.689015118911518e-11,0.0,0.0,-75.0,60.78161242647306,-63.061612279908786
t7769,200.09807537928498,114.54666116823893,-66.50061413843498,0.0,0.0,0.0,4.705756448519156e-11,0.0,0.0,-86.0,64.33083859564223,-64.33083868930477
t7770,198.9739841712796,70.00000006685752,-82.64921285061098,0.0,0.0,0.0,4.7108161878810717e-11,0.0,0.0,-92.0,64.12026264293807,-61.941663670782674
t7771,198.9615925348401,129.3246004889578,-53.280615162361144,0.0,0.0,0.0,4.7039977752116414e-11,0.0,0.0,-97.0,63.37212926112922,-65.59212858726376
t7772,199.0731164255633,69.99999986285893,-77.53893925517727,0.0,0.0,0.0,4.710816223381529e-11,0.0,0.0,-97.0,64.05652957291238,-62.013706195573604
t7773,199.02974626471186,121.03537913970342,-56.500615863368864,0.0,0.0,0.0,4.7094493714041974e-11,0.0,0.0,-96.0,64.33091187878637,-64.33091165058251
t7774,198.856264248599,65.00000001086667,-79.49891792478549,0.0,0.0,0.0,4.710816231553612e-11,0.0,0.0,-95.0,64.03603139503858,-62.03772947663142
t7775,198.74473994043473,117.10460055640361,-65.50061413415685,0.0,0.0,0.0,4.707611684360428e-11,0.0,0.0,-87.0,64.33093989346642,-64.33094003212649
t7776,198.79430607129646,65.0000001641844,-94.42644367198739,0.0,0.0,0.0,4.7108161583510056e-11,0.0,0.0,-80.0,64.0033369014193,-62.077509696711076
t7777,198.75713141606641,110.104600411358,-72.50061400867958,0.0,0.0,0.0,4.707867327000627e-11,0.0,0.0,-80.0,64.33093451454643,-64.33093455180727
t7778,198.73854404822632,70.00000007521372,-100.40826728141077,0.0,0.0,0.0,4.710816131786459e-11,0.0,0.0,-74.0,64.01161163322494,-62.07395981655789
t7779,198.63941184879604,104.32459934739475,-78.2806162797842,0.0,0.0,0.0,4.7043660639206894e-11,0.0,0.0,-72.0,63.37215849856608,-65.59215770109628
t7780,198.62702004980798,70.00000005650426,-105.37157218191501,0.0,0.0,0.0,4.71081612180728e-11,0.0,0.0,-69.0,63.99506244212242,-62.09410521332812
t7781,198.49071241163875,104.10460062893705,-78.5006145672134,0.0,0.0,0.0,4.7065797573342447e-11,0.0,0.0,-74.0,64.330864988189,-64.33086632491413
t7782,198.24907704276617,69.99999989396885,-94.40453466518287,0.0,0.0,0.0,4.7108161882618365e-11,0.0,0.0,-80.0,64.00993407481656,-62.07601544135502
t7783,200.17758472808293,126.32459911021981,-56.28061634086774,0.0,0.0,0.0,4.705444424912677e-11,0.0,0.0,-94.0,63.37201772263903,-65.59201585453289
t7784,211.23014573519956,40.00010717291688,-72.37226029060041,0.0,0.0,0.0,4.7108162761799363e-11,0.0,0.0,-106.0,64.0014472541389,-62.07980283760757
t7785,228.02546528999122,116.42459939726844,-66.18061643197528,0.0,0.0,0.0,4.701786094288355e-11,0.0,0.0,-99.0,63.37203000481732,-65.59202961145074
t7786,229.51671913080327,40.00000181414999,-109.7895160179319,0.0,0.0,0.0,4.71081621795768e-11,0.0,0.0,-87.0,63.974864631046536,-62.11221581352801
t7787,229.4429283780129,69.99999950680511,-94.78051373545716,0.0,0.0,0.0,4.710816179432897e-11,0.0,0.0,-77.0,65.12866183012872,-63.298764264092085
t7788,225.8654545851174,29.99999990426643,-130.28873004337834,0.0,0.0,0.0,4.710816202501751e-11,0.0,0.0,-64.0,63.924795354096275,-62.16668063396502
t7789,225.8501303661763,30.00000202320541,-106.00531966665547,0.0,0.0,0.0,4.710816234699779e-11,0.0,0.0,-64.0,65.10073259437286,-63.32602894103397
t7790,225.0426619663208,14.99999568553639,-122.14007141107072,0.0,0.0,0.0,4.71081623487545e-11,0.0,0.0,-72.0,63.92541502705946,-62.165959676678625
t7791,220.9774119562983,7.209004702947396e-7,-149.71638765025372,0.0,0.0,0.0,4.710816232739134e-11,0.0,0.0,-73.0,62.6196604344344,-60.88068345319532
t7792,214.7247302543391,7.463249807015967e-7,-130.4690237873428,0.0,0.0,0.0,4.7108162539051677e-11,0.0,0.0,-86.0,62.62336674445858,-60.87907147556082
t7793,197.14432017811197,125.10459960809555,-57.50061571587017,0.0,0.0,0.0,4.706797729112549e-11,0.0,0.0,-95.0,64.33086031905788,-64.33086092145939
t7794,195.77695774529684,70.00000007817643,-69.75061541873052,0.0,0.0,0.0,4.714249218112576e-11,0.0,0.0,-105.0,64.16609311493788,-61.88609369726471
t7795,195.79554549466724,132.32459944222086,-50.28061646316915,0.0,0.0,0.0,4.7019664811796536e-11,0.0,0.0,-100.0,63.37218197652203,-65.59218161125884
t7796,196.03718104786122,69.99999986153885,-74.75061466115042,0.0,0.0,0.0,4.7142492232350855e-11,0.0,0.0,-100.0,64.16612445855515,-61.88612586372289
t7797,196.09913886921728,124.0353810942887,-53.500614926658145,0.0,0.0,0.0,4.709392710551097e-11,0.0,0.0,-99.0,64.33094518170833,-64.33094497546594
t7798,196.21066303206567,65.00000014590378,-76.72061586333193,0.0,0.0,0.0,4.7142492260586736e-11,0.0,0.0,-98.0,64.13613850874944,-61.916138785362506
t7799,196.24164177752053,115.03538136066496,-62.50061507983422,0.0,0.0,0.0,4.709013628904047e-11,0.0,0.0,-90.0,64.33096353933541,-64.33096344659033
t7800,196.26642535817547,65.00000091442922,-90.72061535510157,0.0,0.0,0.0,4.7142491767250913e-11,0.0,0.0,-84.0,64.13614376055973,-61.91614379899208
t7801,196.22305445096575,113.10459399403561,-69.50061571906775,0.0,0.0,0.0,4.708293653976834e-11,0.0,0.0,-83.0,64.33096848904691,-64.33096851469378
t7802,196.26642500626485,69.999999576398,-93.72061707122023,0.0,0.0,0.0,4.7142491598290226e-11,0.0,0.0,-81.0,64.13613701880594,-61.91613537270942
t7803,196.4708858823428,110.32460006213081,-72.280615839635,0.0,0.0,0.0,4.7014745243368666e-11,0.0,0.0,-78.0,63.372217473001115,-65.59221713120903
t7804,196.57621476991983,70.00000010230295,-96.75061403818384,0.0,0.0,0.0,4.714249152400462e-11,0.0,0.0,-78.0,64.16611975083192,-61.886120293066206
