CAISO_Advanced_CCGT_candidate,CAISO_Aero_CT_candidate,CAISO_Reciprocating_Engine_candidate,CAISO_Shed_DR_Tranche1,CAM_CAM_RA_i,CAM_CAM_RA_ii,CAM_CAM_RA_iii,CAM_CPE_RA_i,CAM_CPE_RA_ii,CAM_DR_RA,FishLake,Generic_RA_Only,Greater_Imperial_Geothermal,InState_Biomass,Leapfrog_Power,Northern_California_Geothermal,Ormat_Portfolio,Southern_Nevada_Geothermal,Tierra_Buena,Aquamarine_Westside,Arizona_Solar,Humboldt_Bay_Offshore_Wind,IndianValley_Hydro,Morro_Bay_Offshore_Wind,NW_Ext_Tx_Wind,New_Mexico_Wind,Northern_California_Solar,Northern_California_Wind,Riverside_Palm_Springs_Wind,Riverside_Solar,Wyoming_Wind,Arizona_Li_Battery,CAISO_New_Flow_Battery,CAISO_New_Flow_Battery_12,CAISO_New_Flow_Battery_8,CAISO_New_LDES_Battery_12,CC_Power_GoalLine,CC_Power_Tumbleweed,Generic_4hr_battery_low_cost,Generic_6hr_battery,Generic_6hr_battery_low_cost,Generic_8hr_battery,Generic_8hr_battery_low_cost,Northern_California_Li_Battery,Riverside_Li_Battery,Riverside_West_Pumped_Storage,Tehachapi_Pumped_Storage,GibsonSolar,PutahCreek,Resurgence_Hybrid,WillowSpringsSolar
0,0,0,2.11E-09,0,0,0,0,0,0,0,3.82E-10,2.98E-07,5.15E-08,0,3.01E-07,0,6.94E-07,0,0,0.331529085,6.04E-08,0.066699994,5.89E-09,1.47E-07,5.17E-09,0,1.480793096,9.999999991,9.999999994,1.17E-07,9.999999995,8.51501339,9.125727398,8.68337613,8.67E-07,0,0,9.999999983,9.999999973,9.999999976,9.999999968,9.999999971,9.999999995,9.999999995,9.999999779,9.999999779,0,1.500481902,9.999999994,9.999999994
1.71E-09,9.19E-10,1.73E-09,1.92E-09,0,0,0,0,0,0,0,3.75E-10,2.92E-07,4.68E-08,0,2.95E-07,0,6.87E-07,0,0.65,3.768606214,5.54E-08,0.066699987,2.39E-09,1.41E-07,4.21E-09,2.52E-08,1.189591098,4.999999987,4.999999987,1.10E-07,4.999999994,1.24E-07,1.24E-07,1.24E-07,3.42E-08,0,0,4.999999977,4.999999955,4.999999962,4.999999937,4.999999947,4.999999994,4.999999994,1.39E-07,1.39E-07,0,1.500000002,4.999999987,4.999999987
2.06E-09,1.02E-09,2.25E-09,1.96E-09,0,0,0,0,0,0,0,3.77E-10,2.94E-07,4.79E-08,0,2.96E-07,0,6.89E-07,0,8.75,5.433017585,5.66E-08,0.066699989,1.48E-09,1.41E-07,4.04E-09,5.70E-08,0.898389108,9.999999982,9.999999989,1.13E-07,9.999999995,7.97E-07,7.97E-07,7.97E-07,4.68E-08,0,0,9.999999982,9.999999971,9.999999974,9.999999965,9.999999969,9.999999995,9.999999995,9.999999531,9.999999531,0,1.500000339,9.999999989,9.999999989
2.05E-09,1.02E-09,2.30E-09,1.92E-09,0,0,0,0,0,0,0,3.75E-10,2.92E-07,4.69E-08,0,2.95E-07,0,6.87E-07,0,4.999999987,4.999999987,5.48E-08,0.066699987,1.68E-09,1.29E-07,4.55E-09,3.87E-07,0.551425032,4.999999987,4.999999987,1.12E-07,4.999999994,1.30E-07,1.30E-07,1.30E-07,3.47E-08,0,0,4.999999977,4.999999956,4.999999963,4.999999939,4.999999949,4.999999994,4.999999994,1.55E-07,1.55E-07,0,1.500000005,4.999999987,4.999999987
2.45E-09,1.11E-09,2.78E-09,2.29E-09,0,0,0,0,0,0,0,3.88E-10,3.00E-07,5.32E-08,0,3.03E-07,0,6.96E-07,0,9.999999996,6.732070369,5.62E-08,0.066699996,7.27E-09,1.31E-07,6.48E-09,1.24E-06,0.415117726,9.999999995,9.999999996,1.22E-07,9.999999995,9.709007414,9.748289528,9.716820249,8.69E-07,0,0,9.999999983,9.999999973,9.999999976,9.999999968,9.999999971,9.999999995,9.999999995,9.999999788,9.999999788,0,1.500483273,9.999999996,9.999999996
2.12E-09,1.03E-09,2.40E-09,2.00E-09,0,0,0,0,0,0,0,3.78E-10,2.95E-07,4.87E-08,0,2.97E-07,0,6.90E-07,0,4.99999999,4.99999999,4.81E-08,0.06669999,1.31E-08,1.31E-07,5.39E-09,1.70E-06,0.390334571,4.99999999,4.99999999,1.16E-07,4.999999996,4.999999881,4.999999881,4.999999881,6.63E-08,0,0,4.999999985,4.999999978,4.99999998,4.999999975,4.999999977,4.999999996,4.999999996,4.99999997,4.99999997,0,1.529999807,4.99999999,4.99999999
2.11E-09,1.03E-09,2.38E-09,1.99E-09,0,0,0,0,0,0,0,3.78E-10,2.95E-07,4.88E-08,0,2.98E-07,0,6.90E-07,0,9.99999999,6.765899862,4.68E-08,0.06669999,1.99E-08,1.34E-07,5.49E-09,9.62E-07,0.402726146,9.999999984,9.99999999,1.16E-07,9.999999995,4.400032135,8.58011403,6.454752356,5.80E-08,0,0,9.999999983,9.999999973,9.999999976,9.999999968,9.999999971,9.999999995,9.999999995,9.999999717,9.999999717,0,1.500481394,9.99999999,9.99999999
2.06E-09,1.02E-09,2.32E-09,1.94E-09,0,0,0,0,0,0,0,3.76E-10,2.93E-07,4.74E-08,0,2.96E-07,0,6.88E-07,0,4.999999988,4.999999988,4.61E-08,0.066699988,3.37E-08,1.34E-07,5.87E-09,9.96E-07,0.421313505,4.999999988,4.999999988,1.12E-07,4.999999995,2.15E-07,2.15E-07,2.15E-07,3.95E-08,0,0,4.99999998,4.999999965,4.999999969,4.999999955,4.99999996,4.999999995,4.999999995,1.51E-06,1.51E-06,0,1.500000051,4.999999988,4.999999988
2.10E-09,1.03E-09,2.35E-09,1.98E-09,0,0,0,0,0,0,0,3.78E-10,2.94E-07,4.86E-08,0,2.97E-07,0,6.90E-07,0,9.99999999,5.77807848,4.73E-08,0.06669999,3.24E-08,1.37E-07,6.74E-09,1.19E-06,0.402726145,9.999999984,9.99999999,1.13E-07,9.999999995,4.712521326,8.655990283,6.766382015,5.55E-08,0,0,9.999999983,9.999999973,9.999999976,9.999999968,9.999999971,9.999999995,9.999999995,9.999999705,9.999999705,0,1.500481297,9.99999999,9.99999999
2.02E-09,1.01E-09,2.21E-09,1.95E-09,0,0,0,0,0,0,0,3.76E-10,2.93E-07,4.76E-08,0,2.96E-07,0,6.88E-07,0,4.999999989,3.930987813,4.43E-08,0.066699989,3.57E-08,1.44E-07,6.86E-09,1.04E-06,0.508054524,4.999999989,4.999999989,1.13E-07,4.999999995,2.79E-07,2.79E-07,2.79E-07,4.15E-08,0,0,4.999999981,4.999999967,4.999999971,4.999999959,4.999999963,4.999999995,4.999999995,4.99999964,4.99999964,0,1.500000084,4.999999989,4.999999989
