Resource,GibsonSolar,PutahCreek,Resurgence_Hybrid,WillowSpringsSolar,Total
t192,0.0,3.716187395953232e-8,2.481761820543807e-8,2.227203117184762e-8,8.4251523336818e-8
t193,0.0,3.624111058306673e-8,2.4817711539815303e-8,2.2272097390040524e-8,8.333091951292257e-8
t194,0.0,3.604574291993861e-8,2.4817692188384934e-8,2.2272084422183852e-8,8.31355195305074e-8
t195,0.0,4.078901212353143e-8,2.481772409941574e-8,2.227210695611384e-8,8.787884317906101e-8
t196,0.0,4.2725144857077845e-8,2.481769539857207e-8,2.2272087329211892e-8,8.98149275848618e-8
t197,0.0,2.980287954087361e-8,2.481782255792428e-8,2.227217539622368e-8,7.689287749502158e-8
t198,0.0,3.351620322585176e-8,2.4817709873000093e-8,2.2272098112276014e-8,8.060601121112787e-8
t199,0.0,1.3883687615948704e-8,1.4999998806492012,0.7199998585827353,2.219999753115624
t200,0.0,1.2731847842970804e-8,2.4817724781199875e-8,2.2272110080862475e-8,5.982168270503314e-8
t201,0.0,1.7884596039136e-8,2.4296531053272045e-7,1.146623588771946e-7,3.7551226544905104e-7
t202,0.0,1.0945548468882007e-8,2.481791987130176e-8,2.2272249940221457e-8,5.803571828040523e-8
t203,0.0,1.8052148413742636e-8,1.1599749067108209e-6,1.8289782064826143e-7,1.360924875772825e-6
t204,0.0,1.1443391462222073e-8,2.481911539359903e-8,2.2273177446590595e-8,5.85356843024117e-8
t205,0.0,1.9300326712700307e-8,2.4298723602484243e-7,1.1466747022797224e-7,3.7695503296551495e-7
t206,0.0,1.805219225769294e-8,1.4611669717474742e-7,8.734157295260533e-8,2.515104623850457e-7
t207,0.0,2.1386602996174314e-8,1.4999997182581861,0.719999516244991,2.21999925588978
t208,0.0,1.392976369346516e-8,3.397437405591048e-8,2.937760130977126e-8,7.72817390591469e-8
t209,0.0,1.805219597295436e-8,1.359352997527136e-7,8.359864960368618e-8,2.3758614532935414e-7
