Resource,CAISO_Advanced_CCGT_candidate,CAISO_Aero_CT_candidate,CAISO_Reciprocating_Engine_candidate,CAISO_Shed_DR_Tranche1,CAM_CAM_RA_i,CAM_CAM_RA_ii,CAM_CAM_RA_iii,CAM_CPE_RA_i,CAM_CPE_RA_ii,CAM_DR_RA,Generic_RA_Only,Leapfrog_Power,Tierra_Buena,Aquamarine_Westside,Arizona_Solar,Humboldt_Bay_Offshore_Wind,Morro_Bay_Offshore_Wind,NW_Ext_Tx_Wind,New_Mexico_Wind,Northern_California_Solar,Northern_California_Wind,Riverside_Palm_Springs_Wind,Riverside_Solar,Wyoming_Wind,Arizona_Li_Battery,CAISO_New_Flow_Battery,CAISO_New_Flow_Battery_12,CAISO_New_Flow_Battery_8,CAISO_New_LDES_Battery_12,CC_Power_GoalLine,CC_Power_Tumbleweed,Generic_4hr_battery_low_cost,Generic_6hr_battery,Generic_6hr_battery_low_cost,Generic_8hr_battery,Generic_8hr_battery_low_cost,Northern_California_Li_Battery,Riverside_Li_Battery,Riverside_West_Pumped_Storage,Tehachapi_Pumped_Storage,FishLake,Greater_Imperial_Geothermal,InState_Biomass,Northern_California_Geothermal,Ormat_Portfolio,Southern_Nevada_Geothermal,IndianValley_Hydro,GibsonSolar,PutahCreek,Resurgence_Hybrid,WillowSpringsSolar,Total
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.802618446175505e-5,0.0,0.0,0.0,0.0,0.0,0.0,8.29325255216812e-5,8.659435217644353e-5,8.672421986571964e-5,8.073252269000136e-5,8.671439081387551e-5,4.802618446175505e-5,4.802618446175505e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9713562032788667,29.283520386631665,23.65552137241269,53.910965738887676
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.80479533095347e-5,0.0,0.0,0.0,0.0,0.0,0.0,7.039280158287131e-5,7.410065653585532e-5,7.46424715784078e-5,6.829294203880891e-5,7.470484370448141e-5,3.80479533095347e-5,3.80479533095347e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9713439091743519,29.28346902814345,23.65549499357683,53.910784208470005
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7563707515161197e-5,0.0,0.0,0.0,0.0,0.0,0.0,6.868679653240221e-5,7.31844836410133e-5,7.418829218331707e-5,6.731712588146692e-5,7.449275181368958e-5,3.7563707515161197e-5,3.7563707515161197e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97134476732228,29.28343535362689,23.65543112112124,53.910681802643005
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3933356112018526e-5,0.0,0.0,0.0,0.0,0.0,0.0,3.633177642524722e-5,3.764244547541777e-5,3.777073442022851e-5,6.992277059391074e-5,7.666625555853655e-5,1.3933356112018526e-5,1.3933356112018526e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9713441578390721,24.251615153059976,19.42133064002888,44.64459008497874
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000739191424329879,0.0,0.0,0.0,0.0,0.0,0.0,0.002271136248218866,0.012426568821646423,0.16507402251809217,0.011588536106968382,2.3308304860813776,0.000739191424329879,0.000739191424329879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0312880530560218,13.348870477450678,9.053602443131068,25.958169297687064
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027723384992480358,0.0,0.0,0.0,0.0,0.0,0.0,0.008852961483606302,0.044170000051368286,2.652912412622638,0.01159149041822529,2.3308333775856496,0.0027723384992480358,0.0027723384992480358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7639836079958626,12.199376649868217,5.7461700092849295,23.766207524808237
t35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.662866349347538,0.0,0.0,0.0,0.0,0.0,0.0,0.008690189547100886,0.04572506390968409,2.654423741420489,0.011592172249594046,2.33083405937674,6.662866349347538,6.662866349347538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0312924854289678,12.1723099306962,6.056369107019201,44.29983579769059
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.978426323019958,0.0,0.0,0.0,0.0,0.0,0.0,0.010946768928898171,0.04599918427442582,2.654666764162904,0.011592638127359335,2.330834518612658,14.978426323019958,14.978426323019958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9904272076520839,12.742376447026322,6.783286771703094,70.50540926954761
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.979462364686764,0.0,0.0,0.0,0.0,0.0,0.0,0.011660519662538527,0.04612308171349955,2.654777313609598,0.011593008539606355,2.3308348791212383,14.979462364686764,14.979462364686764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8519417023492932,12.442717330154082,7.524016795738312,70.81205172494845
t38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.979402029610526,0.0,0.0,0.0,0.0,0.0,0.0,0.011572800287939713,0.04612620551908615,2.654781628583344,0.011592925131968652,2.3308348062114583,14.979402029610526,14.979402029610526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9051104574969822,11.716604531413246,7.0419863317798805,69.65681577525548
