Resource,Arizona_Li_Battery,CAISO_New_Flow_Battery,CAISO_New_Flow_Battery_12,CAISO_New_Flow_Battery_8,CAISO_New_LDES_Battery_12,CC_Power_GoalLine,CC_Power_Tumbleweed,Generic_4hr_battery_low_cost,Generic_6hr_battery,Generic_6hr_battery_low_cost,Generic_8hr_battery,Generic_8hr_battery_low_cost,Northern_California_Li_Battery,Riverside_Li_Battery,Riverside_West_Pumped_Storage,Tehachapi_Pumped_Storage,Total
t42,-7.416339542421203e-7,-2.161508853417656e-7,-4.491562804377095e-6,-4.483736172081135e-6,-5.343049316414941e-7,0.0,0.0,-2.3065741815395938e-6,-4.817838441358328e-8,-6.601263761721203e-8,-3.179887058202669e-8,-3.966156516778368e-8,-7.416339542421203e-7,-7.416339542421203e-7,-1.7380734168637932e-6,-1.7380734168637932e-6,-1.7919029129215637e-5
t43,-7.436070208186076e-7,-2.1460451824038015e-7,-1.5391426755421165e-8,-1.9080351380518165e-8,-6.871713345119658e-8,0.0,0.0,-2.3118051043293903e-6,-4.803769031915323e-8,-6.575796034269607e-8,-3.1686672305592705e-8,-3.9500473558930584e-8,-7.436070208186076e-7,-7.436070208186076e-7,-5.4960564582313295e-9,-5.4960564582313295e-9,-5.056394506055563e-6
t44,-8.091968714580543e-7,-2.1724809873547392e-7,-5.738948372178268e-6,-5.724622356716082e-6,-5.394147819129191e-7,0.0,0.0,-2.515957635466156e-6,-4.8370017821726234e-8,-6.63017097256984e-8,-3.181551129190878e-8,-3.968507032655358e-8,-8.091968714580543e-7,-8.091968714580543e-7,-2.5459478047064867e-6,-2.5459478047064867e-6,-2.2441849777961923e-5
t45,-1.727180869342239e-9,-2.446274715205688e-9,-6.219027632422618e-9,-6.2183267497299096e-9,-3.528353646602124e-7,0.0,0.0,-5.327857074036252e-9,-3.6734988304241655e-9,-3.9675737583915175e-9,-3.2118141681729086e-9,-3.5189429834365006e-9,-1.727180869342239e-9,-1.727180869342239e-9,-3.1740337672408353e-9,-3.1740337672408353e-9,-3.989482907145404e-7
t46,-8.950707364742941e-7,-2.1837937397208315e-7,-8.400509907068992e-6,-8.364167135157683e-6,-3.04047474056418e-7,0.0,0.0,-2.7821009580726215e-6,-4.8559363744641776e-8,-6.658396087475694e-8,-3.183076390343713e-8,-3.970682543654573e-8,-8.950707364742941e-7,-8.950707364742941e-7,-6.108581198418669e-6,-6.108581198418669e-6,-3.5158260368547406e-5
t47,-5.284872539372742e-9,-1.5068984973541575e-8,-1.9758365861510833e-8,-1.975735418993906e-8,-7.603153768226474e-8,0.0,0.0,-1.6293468026536112e-8,-3.2134672596204857e-9,-3.4527317108436993e-9,-2.8221882425975094e-9,-3.081584971047452e-9,-5.284872539372742e-9,-5.284872539372742e-9,-4.9220796211443196e-9,-4.9220796211443196e-9,-1.8517845977830834e-7
t48,-1.0060842028092829e-6,-2.192117390764194e-7,-2.0488952156736872e-5,-2.0192722725383045e-5,-2.1008458925904227e-7,0.0,0.0,-3.1264124931275227e-6,-1.3670873086296954e-8,-1.5938774781932015e-8,-1.3202277826074841e-8,-1.2344358527834751e-8,-1.0060842028092829e-6,-1.0060842028092829e-6,-2.69962205710212e-7,-2.69962205710212e-7,-4.7850717007653314e-5
t49,-1.0857776604689104e-6,2.3163774714184044e-8,-6.231995557298055e-7,-6.10392497688556e-7,-2.110228173757781e-7,0.0,0.0,-3.3729260148208084e-6,-1.2977496703231575e-8,-1.2884409823565886e-8,-1.5373780122587904e-8,-1.558679700567388e-8,-1.0857776604689104e-6,-1.0857776604689104e-6,-7.551250618785489e-8,-7.551250618785489e-8,-8.259557588338264e-6
t50,-1.1627240259190338e-6,2.3010422409616042e-8,-6.989015519831537e-7,-6.795704824244339e-7,-2.1196908404864325e-7,0.0,0.0,-3.6124365535932367e-6,-1.3194114340364529e-8,-1.2909212756929574e-8,-1.2179851064285436e-8,-1.2767678660834355e-8,-1.1627240259190338e-6,-1.1627240259190338e-6,-8.263052374877047e-8,-8.263052374877047e-8,-8.884351231716908e-6
t51,-1.2728125861497514e-6,2.2568318783305533e-8,-8.043130342013751e-7,-7.738651284550599e-7,-2.129175291649535e-7,0.0,0.0,-3.953159095604345e-6,-1.2563119381989578e-8,-1.292985852010896e-8,-1.2181047894549782e-8,-1.2672176713947884e-8,-1.2728125861497514e-6,-1.2728125861497514e-6,-9.051579677798104e-8,-9.051579677798104e-8,-9.77150202315824e-6
