Constraint,CapRes_1
t537,8.891610679385209e-10
t538,1.1923461702219038e-9
t539,9.54899276583743e-10
t540,1.3548870568208283e-9
t541,1.0819699324416776e-9
t542,1.3237074302382856e-9
t543,1.0820702400899778e-9
t544,2.0265151133769513e-9
t545,9.601101046917007e-10
t546,1.219522448123767e-9
t547,9.211387037581447e-10
t548,1.2183151311306676e-9
t549,9.181432764871916e-10
t550,1.2425740289809901e-9
t551,1.0780279863081922e-9
t552,1.3709783054661224e-9
t553,1.0714338563954915e-9
t554,1.3637833973180264e-9
t555,1.1063708447937139e-9
t556,1.3908444417430032e-9
t557,1.0706748098431572e-9
t558,1.3709819450518837e-9
t559,9.117867851414198e-10
t560,1.2082215535615557e-9
t561,8.722568935284867e-10
t562,1.1707417325561305e-9
t563,8.924071186457807e-10
t564,1.1853830406678772e-9
t565,9.102098443009112e-10
t566,1.1814974537826201e-9
t567,9.242232445966638e-10
t568,1.191135938555629e-9
t569,9.085607248574172e-10
t570,1.2226750751262586e-9
t571,9.15346059256787e-10
t572,1.2203219023961606e-9
t573,9.203781866274948e-10
t574,1.2397954980290679e-9
t575,9.59008732599532e-10
t576,1.231694355595851e-9
t577,1.0387676388644696e-9
t578,1.2641527089849515e-9
t579,1.0149516355509422e-9
t580,1.4176035551868528e-9
t581,1.0493261792990334e-9
t582,1.23101722954242e-9
t583,9.6086586637195e-10
t584,1.3386291558537902e-9
t585,1.4461553571370798e-9
t586,2.083086562074303e-9
t587,1.968190850088112e-9
t588,2.0190841834299954e-9
t589,1.9344726904190865e-9
t590,2.017026756969481e-9
t591,1.9369424208372364e-9
t592,2.0369253103166806e-9
t593,9.305213327198534e-10
t594,1.2207169046137479e-9
t595,9.197771401463492e-10
t596,1.2218433461693181e-9
t597,9.207825450409663e-10
t598,1.2910075202789592e-9
t599,1.0836654465251624e-9
t600,1.3764738972555832e-9
t601,1.0604431286678897e-9
t602,1.2196096478293316e-9
t603,1.0167952649996337e-9
t604,1.2290962066351433e-9
t605,9.552369925323848e-10
t606,1.3195436942220712e-9
t607,9.208878917000416e-10
t608,1.368026376070267e-9
t609,2.042081870968407e-9
t610,1.3210942030905973e-9
t611,1.9114202890707116e-9
t612,2.0296838556603166e-9
t613,1.9577923749497687e-9
t614,2.020036139942646e-9
t615,1.9648157742154963e-9
t616,2.0525004448762847e-9
t617,9.148111732790062e-10
t618,1.2220890601020123e-9
t619,9.178492164511065e-10
t620,1.2216590356597173e-9
t621,9.096596945118223e-10
t622,1.2255038457858117e-9
t623,9.256896877748078e-10
t624,1.2109341791085204e-9
t625,9.822184950230762e-10
t626,1.1947308151065352e-9
t627,1.0368131637306754e-9
t628,1.2681877263374016e-9
t629,9.871019311788893e-10
t630,1.2432256967794115e-9
t631,9.439217557347966e-10
t632,1.191132236800144e-9
t633,9.087829257949043e-10
t634,1.1569986345887747e-9
t635,9.742146990228808e-10
t636,1.17530088084978e-9
t637,1.0190781004933539e-9
t638,1.2376270717696292e-9
t639,1.0037505524721427e-9
t640,1.1671007587596972e-9
t641,9.542754155068108e-10
t642,1.2061373171458668e-9
t643,9.467011433313495e-10
t644,1.2019739146774847e-9
t645,9.395805682806485e-10
t646,1.202399506747878e-9
t647,9.680605634138175e-10
t648,1.2156753317005084e-9
t649,1.1356936591690702e-9
t650,1.3740980907731248e-9
t651,1.0966211972766493e-9
t652,1.3220837989966037e-9
t653,1.0980034316460103e-9
t654,1.2047876781785811e-9
t655,9.88402214145295e-10
t656,1.1649133953711762e-9
t657,9.363573825738465e-10
t658,1.1438279423831866e-9
t659,9.597090038737456e-10
t660,1.1558624492506705e-9
t661,9.655853368395045e-10
t662,1.2060808833480173e-9
t663,9.938571849581024e-10
t664,2.020880527137943e-9
t665,9.543121455357658e-10
t666,1.2038136656886817e-9
t667,9.312725017483383e-10
t668,1.2050138943675816e-9
t669,9.485063786841598e-10
t670,1.2011613170868844e-9
t671,9.61611112215308e-10
t672,1.1863084398930556e-9
t673,9.67626059402815e-10
t674,1.217649123855927e-9
t675,1.1346053812492224e-9
t676,1.432923865114083e-9
t677,9.9936075401224e-10
t678,1.1869664042164816e-9
t679,9.215423539633501e-10
t680,1.1897656224363348e-9
t681,8.660163589325499e-10
t682,1.166491813900506e-9
t683,8.893816058434139e-10
t684,1.1598090504645027e-9
t685,9.330087024289132e-10
t686,1.3653198982868487e-9
t687,1.0898295288739544e-9
t688,2.0544183962853167e-9
t689,9.152039261641554e-10
t690,1.211437067761052e-9
t691,9.182272231385322e-10
t692,1.2100941531261622e-9
t693,9.262912934347442e-10
t694,1.3807226667350022e-9
t695,1.0840355924574414e-9
t696,1.2228377154097234e-9
t697,9.533296130123132e-10
t698,1.1931442679982189e-9
t699,9.93463601848759e-10
t700,1.2167505644976829e-9
t701,9.69693133127045e-10
t702,1.205865617542988e-9
t703,9.410927943813775e-10
t704,1.251152822106096e-9
t705,1.0699754041971335e-9
t706,1.2965805869205909e-9
t707,1.1007876738906738e-9
t708,2.0447649405122684e-9
t709,1.1751289460734734e-9
t710,2.0047261955355677e-9
t711,1.961876675881043e-9
t712,2.044407592112415e-9
t713,1.0725214430709202e-9
t714,1.2146018678732868e-9
t715,9.112371510499633e-10
t716,1.2144285917709455e-9
t717,9.171165990092922e-10
t718,1.222903087039894e-9
t719,1.0026484180021014e-9
t720,1.2072461189163653e-9
t721,9.684077505433727e-10
t722,1.1966355418963665e-9
t723,9.912559231932724e-10
t724,1.2358953549757391e-9
t725,9.78587207173374e-10
t726,1.2019417591991414e-9
t727,9.207497386956322e-10
t728,1.2153900912349156e-9
t729,2.0214237995463756e-9
t730,2.071933307227129e-9
t731,1.9145675339008923e-9
t732,1.9099502189023154e-9
t733,1.88481679117713e-9
t734,1.5767545674101054e-9
t735,1.4106653837350598e-9
t736,2.0367755004512025e-9
t737,1.0534496161742922e-9
t738,1.2161564281728938e-9
t739,9.278676481060361e-10
t740,1.210420253611556e-9
t741,9.387208332319047e-10
t742,1.210586632334401e-9
t743,9.560394380696482e-10
t744,1.224096456164986e-9
t745,9.657518938474168e-10
t746,1.2008187615536597e-9
t747,9.869285366708701e-10
t748,1.1928987821884877e-9
t749,9.895719634568186e-10
t750,1.1976199682025811e-9
t751,9.281517261580911e-10
t752,1.334434171805287e-9
t753,1.0435656823446117e-9
t754,1.384288390683472e-9
t755,1.0540359530006315e-9
t756,1.3722018353609013e-9
t757,1.9878891113067165e-9
t758,2.0394545553637503e-9
t759,1.950461690073352e-9
t760,2.0320288464796613e-9
t761,9.400270375338724e-10
t762,1.2136904893286241e-9
t763,9.196149265415842e-10
t764,1.2153991991931675e-9
t765,9.244255771854862e-10
t766,1.310554223764757e-9
t767,1.109869655259121e-9
t768,1.4442822264046348e-9
t769,1.130666820046307e-9
t770,1.3546268114216879e-9
t771,1.0025125711519633e-9
t772,1.1915626310253657e-9
t773,9.814940141340615e-10
t774,1.2006791851329023e-9
t775,9.143345614916042e-10
t776,1.1789510355458649e-9
t777,9.30229454996012e-10
t778,1.2000272766522155e-9
t779,1.0115396052899235e-9
t780,1.287870055244124e-9
t781,1.0445802404835009e-9
t782,1.2981750157545258e-9
t783,1.0346014435381585e-9
t784,1.2281531710542349e-9
t785,9.474525902619977e-10
t786,1.2093134351984598e-9
t787,9.35568968305759e-10
t788,1.21267287016915e-9
t789,9.308091362693636e-10
