Aquamarine_Westside,Arizona_Solar,Humboldt_Bay_Offshore_Wind,Morro_Bay_Offshore_Wind,NW_Ext_Tx_Wind,New_Mexico_Wind,Northern_California_Solar,Northern_California_Wind,Riverside_Palm_Springs_Wind,Riverside_Solar,Wyoming_Wind,GibsonSolar,PutahCreek,Resurgence_Hybrid,WillowSpringsSolar
4.442533136739257e-5,9.757536869338078e-5,0.0,0.0,2.0347840420945598e-5,9.039761047803339e-6,9.287247357252581e-5,1.0116547752041201e-5,0.0,9.779544852488113e-5,2.8903598081385278e-6,0.0,5.0724584277350715e-5,4.907953434951651e-5,4.9401045387753584e-5
4.132716510696355e-5,9.139505674025604e-5,0.0,0.0,2.1919231472297545e-5,9.620795354114484e-6,8.720372919093802e-5,1.2414302363798502e-5,7.899352155408832e-7,9.160690169990783e-5,4.12668473125179e-6,0.0,4.746992772153291e-5,4.592679863435478e-5,4.62223999733169e-5
3.94991092846908e-5,8.775957855079004e-5,0.0,0.0,2.2661905027626807e-5,9.26206945426909e-6,8.386430951380579e-5,1.3981995329969022e-5,1.2981904098821951e-6,8.795645616505387e-5,5.9328067345091365e-6,0.0,4.531912378347158e-5,4.405688702036059e-5,4.4342691126075806e-5
3.675537522696004e-5,8.222552322697912e-5,0.0,0.0,2.19959547321417e-5,9.364974186239753e-6,7.874984757747132e-5,1.5107534448386268e-5,2.113888071474731e-6,8.246381566204993e-5,8.222073904600942e-6,0.0,4.2378130101550227e-5,4.125801905274784e-5,4.1522812907146545e-5
3.442634336181527e-5,7.753620103308249e-5,0.0,0.0,2.196262585736768e-5,9.931069166228358e-6,7.435330866961168e-5,1.5557230662808753e-5,3.572881234261695e-6,7.780955767533346e-5,1.392255211402404e-5,0.0,3.987036987807002e-5,3.8861225107211794e-5,3.9127086992607474e-5
3.2461373940861904e-5,7.349965090808521e-5,0.0,0.0,2.170099807255722e-5,8.979216269406597e-6,7.040760418532588e-5,1.7083680379098045e-5,5.791538585854043e-6,7.386457525659076e-5,1.8262134014553292e-5,0.0,3.720007803176273e-5,3.6853334208331034e-5,3.7105720267049946e-5
2.6453495493683477e-5,6.092655040957618e-5,0.0,0.0,2.026730440473212e-5,9.349840560360756e-6,5.85525334814824e-5,1.7639052788408625e-5,1.2608154978426172e-5,6.183297935195095e-5,2.1981328540578493e-5,0.0,3.084933493369135e-5,3.07024267556244e-5,3.076737199592117e-5
1.698130068206183e-5,2.8800419606115413e-5,0.0,0.0,1.8738186195892034e-5,1.1591493617895205e-5,3.989545539536491e-5,1.60116845396491e-5,1.4774436012280652e-5,4.2772114257480515e-5,2.2055733280612217e-5,0.0,2.097439967707615e-5,2.0997118205912102e-5,2.0994283637776334e-5
3.484255653329882e-6,0.0,0.0,0.0,1.1746084590166178e-5,1.0528839358122565e-5,0.0,1.1221022883070254e-5,1.0445671266264188e-5,0.0,1.2139471228662946e-5,0.0,7.091238849732395e-6,7.123872532766029e-6,7.0945005627987e-6
0.0,0.0,0.0,0.0,1.5867873863040925e-5,1.626289704192157e-5,0.0,1.4624911997656488e-5,1.3586179554708895e-5,0.0,1.7164781728267066e-5,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.545888366693608e-5,1.3949559209968316e-5,0.0,1.261449071000955e-5,1.3939837490266476e-5,0.0,1.71359979730416e-5,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.4260787050563867e-5,1.345672997151937e-5,0.0,1.1634715678515651e-5,1.3522508930181149e-5,0.0,1.6824789936907282e-5,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.3022814932409081e-5,1.1839457725186887e-5,0.0,1.0473513693261472e-5,1.1964490016904141e-5,0.0,1.5597341432538218e-5,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.3232949061292441e-5,1.0454540042732039e-5,0.0,9.776463563615973e-6,9.676589072469462e-6,0.0,1.5362605373923343e-5,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.3384454372370545e-5,1.038382279440498e-5,0.0,7.308874237788092e-6,5.971367695604699e-6,0.0,1.389003485789384e-5,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.2212545989178327e-5,8.12901464372075e-6,0.0,5.248597960209013e-6,2.3936369841370725e-6,0.0,1.0538150335179489e-5,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.1989277217843007e-5,5.209869553858611e-6,0.0,4.262707047057871e-6,8.646920003291103e-7,0.0,7.832950468859524e-6,0.0,0.0,0.0,0.0
0.0,1.3997435592399976e-5,0.0,0.0,1.176488285213711e-5,4.028458246939698e-6,0.0,3.870591375450276e-6,0.0,0.0,9.626170001466101e-6,0.0,0.0,0.0,0.0
0.0,3.707066843501952e-5,0.0,0.0,1.0946974519688822e-5,2.8577778517556794e-6,2.403080667095143e-5,3.297969768882331e-6,0.0,3.724130380232913e-5,7.83340480605e-6,0.0,0.0,0.0,0.0
2.296834044784868e-5,5.505872242354682e-5,0.0,0.0,8.171192890743881e-6,2.6592163828424135e-6,5.2029477764785964e-5,2.420346163942861e-6,0.0,5.5202535640815696e-5,4.48370368079844e-6,0.0,0.0,2.7222902629908674e-5,0.0
4.1595325612320266e-5,9.188037507651791e-5,0.0,0.0,5.809197892488748e-6,4.1708231963507595e-6,8.65124185673456e-5,1.4551784634702587e-6,0.0,9.217384446551288e-5,4.081454293120522e-6,0.0,4.588704536834243e-5,4.610132387483645e-5,4.606941661222663e-5
4.593845207523373e-5,0.00010053933634069013,0.0,0.0,4.366268613707543e-6,5.5235236977617634e-6,9.508304736344327e-5,1.268176572965421e-6,0.0,0.00010081356355261207,4.635262357654758e-6,0.0,5.0711329651509374e-5,5.054717124153285e-5,5.0634149474149126e-5
4.773821237336051e-5,0.00010413228438804883,0.0,0.0,3.4183266505450452e-6,7.305202946479492e-6,9.869057975222911e-5,1.2683519284440292e-6,0.0,0.00010441403399380038,5.865237589460229e-6,0.0,5.380636568785846e-5,5.241683211920645e-5,5.280294882936687e-5
4.637706952337339e-5,0.0001014224883358655,0.0,0.0,3.460590991316912e-6,8.528911587420662e-6,9.640646894305213e-5,1.8772249549420077e-6,0.0,0.00010168583887105109,7.077085175835031e-6,0.0,5.263457018500617e-5,5.106528108456132e-5,5.1409109829592126e-5
4.386582360638158e-5,9.641388342705499e-5,0.0,0.0,4.191518227504136e-6,8.645548252983385e-6,9.189737434249684e-5,3.824764933647765e-6,7.900404820008085e-7,9.667139166698012e-5,1.0718418532573393e-5,0.0,4.9908308587198746e-5,4.851451714671384e-5,4.8833786749469255e-5
4.219020681262009e-5,9.305572521231199e-5,0.0,0.0,5.725999498380549e-6,8.504968577145509e-6,8.881412456423941e-5,6.147230454953268e-6,1.2985460370886108e-6,9.331136415454456e-5,1.984133440378224e-5,0.0,4.7983782955007825e-5,4.6810040743139325e-5,4.7113841603163564e-5
3.951758744591416e-5,8.775909421048468e-5,0.0,0.0,7.2726929426984946e-6,8.184270529987153e-6,8.390282235111403e-5,8.718225726915334e-6,3.9238400458650145e-6,8.797640879415169e-5,9.854497528258266e-6,0.0,4.452653486897162e-5,4.407553207386172e-5,4.436905281579584e-5
3.676582839062803e-5,8.225062464722696e-5,0.0,0.0,8.619069417928623e-6,7.776178744181262e-6,7.879457797626031e-5,1.0127995356126529e-5,6.108219219920399e-6,8.246724963071246e-5,7.608370257539197e-6,0.0,4.16593080210248e-5,4.125663386389533e-5,4.153945403118087e-5
3.192264365026176e-5,7.25998661840195e-5,0.0,0.0,1.013722426844047e-5,7.995965895233703e-6,6.982154008384056e-5,1.0612675182870264e-5,9.32320341091734e-6,7.278622421783944e-5,9.126245911340228e-6,0.0,3.6289902071828806e-5,3.633262787161584e-5,3.6557118150426504e-5
2.8983478969735188e-5,6.665931496959565e-5,0.0,0.0,1.1410270217248131e-5,9.642344795228583e-6,6.405858974389943e-5,1.0055527340238535e-5,1.272688472276964e-5,6.691169026543496e-5,1.1336239261036344e-5,0.0,3.3536966797864665e-5,3.331272635875848e-5,3.353059202026998e-5
1.7885473731382717e-5,4.4249748213933406e-5,0.0,0.0,1.2148701811788596e-5,1.0803909504193495e-5,4.297379711840253e-5,1.0326849831349746e-5,1.5572400392467953e-5,4.472071309724475e-5,9.46963837589941e-6,0.0,2.199110810963134e-5,2.193762747992878e-5,2.1984027043231436e-5
